ID,CardID,SkillType,PresentationType,Trigger,TriggerTargetType,TriggerConditionValue,SkillSource,SkillSourceTargetType,EffectValue,UpgradeValue,IsFixed,HitCount,ScaleType,ScaleTypeTargetType,ScaleFactor,ScaleLimit,StatusType,StatusCount,RoundDuration,TurnDuration,RefreshTarget,TargetType,TargetCount,TargetStatSource,#CardText
10011,1101,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.4,0.5,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 40%의 피해를 입힌다."""
10021,1101,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.3,0.4,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,2,E_HP,"""적 2명에게 공격력의 30%의 피해를 입힌다."""
10031,1101,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.5,0.6,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 50%의 피해를 입힌다."""
10051,1105,E_DRAW,E_DEFAULT,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,2,3,FALSE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_NONE,0,E_DECK,"""카드를 2장 드로우한다."""
10061,1106,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,3,4,FALSE,0,E_NONE,E_NONE,0,0,E_BUFF,1,-1,-1,TRUE,E_SELF,1,E_SPEED,"""본인의 속도가 3 증가하고, (카드를 1장 드로우한다.)"""
10071,1107,E_DRAW,E_INSTANT,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,1,FALSE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,FALSE,E_NONE,0,E_DECK,"""(본인의 속도가 3 증가하고,) 카드를 1장 드로우한다."""
10081,1108,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,2,3,TRUE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,0,E_AETHER,"""에테르를 2 회복한다."""
10091,1501,E_HEAL,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.2,0.25,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,1,E_HP,"""아군 1명의 체력을 공격력의 20%만큼 회복한다."""
10101,1502,E_SHIELD,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.2,0.25,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,1,E_SHIELD,"""아군 1명에게 본인 공격력의 20%만큼 보호막을 부여한다."""
,,,,,,,,,,,,,,,,,,,,,,,,,
11112,1111,E_STATUSEFFECT,E_INSTANT,E_CARD_USE,E_NONE,0,E_NONE,E_NONE,0,0,FALSE,0,E_NONE,E_NONE,0,0,E_OVERLOAD,1,-1,-1,TRUE,E_SELF,1,E_NONE,"""(적 1명에게 공격력의 50%의 피해를 입히고) 자신에게 오버로드를 1 부여한다."""
11121,1112,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.4,0.6,FALSE,1,E_NONE,E_NONE,0,0,E_OVERLOAD,1,-1,-1,TRUE,E_ENEMY,2,E_HP,"""적 2명에게 공격력의 40%의 피해를 입히고, 대상에게 오버로드를 1 부여한다."""
11211,1121,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.5,0.75,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,3,E_HP,"""적 3명에게 공격력의 50%의 피해를 입히고, (자신에게 오버로드를 1 부여한다.)"""
11221,1122,E_HEAL,E_MAGICCAST,E_HAS_OVERROAD,E_SELF,1,E_MAXHP,E_SELF,0.1,0.15,FALSE,1,E_NONE,E_NONE,0,0,E_OVERLOAD,-1,0,0,TRUE,E_SELF,1,E_HP,"""오버로드를 1 소모하고 체력을 10% 회복한다."""
11231,1123,E_VARIATION,E_MAGICCAST,E_HAS_OVERROAD,E_SELF,1,E_ATK,E_SELF,0.1,0.15,FALSE,1,E_OVERLOAD,E_SELF,1,99,E_BUFF,1,-1,-1,TRUE,E_SELF,1,E_ATK,"""(오버로드를 1 소모하여), 공격력의 10% + 오버로드 당 1%만큼 공격력이 증가한다."""
11232,1123,E_STATUSEFFECT,E_INSTANT,E_HAS_OVERROAD,E_SELF,1,E_NONE,E_NONE,0,0,FALSE,0,E_NONE,E_NONE,0,0,E_OVERLOAD,-1,-1,-1,FALSE,E_SELF,1,E_NONE,"""오버로드를 1 소모하여, (공격력의 10% + 오버로드 당 1%만큼 공격력이 증가한다.)"""
11241,1124,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.65,0.8,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""적 전체에게 공격력의 65% 피해를 입히고, (자신의 오버로드를 1 소모하여 자신의 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다. 입힌 피해량에 비례해 체력을 회복한다.)"""
11242,1124,E_DAMAGE,E_INSTANT,E_HAS_OVERROAD,E_SELF,1,E_MAXHP,E_ENEMY,0.02,0.03,TRUE,1,E_OVERLOAD,E_SELF,1,99,E_OVERLOAD,-1,0,0,FALSE,E_ENEMY,1,E_HP,"""(적 전체에게 공격력의 65% 피해를 입히고,) 자신의 오버로드를 1 소모하여 자신의 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다. (입힌 피해량에 비례해 체력을 회복한다.)"""
11243,1124,E_HEAL,E_INSTANT,E_CARD_USE,E_NONE,0,E_DAMAGED_INFLICTED,E_NONE,0.07,0.1,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,1,E_HP,"""(적 전체에게 공격력의 65% 피해를 입히고, 자신의 오버로드를 1 소모하여 자신의 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다.) 입힌 피해량에 비례해 체력을 회복한다."""
11311,1131,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.6,0.75,FALSE,1,E_NONE,E_NONE,0,0,E_OVERLOAD,2,-1,-1,TRUE,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 60%의 피해를 입히고, 대상에게 오버로드를 2 부여한다."""
11321,1132,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.45,0.6,FALSE,1,E_NONE,E_NONE,0,0,E_OVERLOAD,1,-1,-1,TRUE,E_ENEMY,1,E_HP,"""적 전체에게 공격력의 45%의 피해를 입히고, 대상에게 오버로드를 1 부여한다."""
11331,1133,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.5,0.65,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,99,E_HP,"""적 전체에게 공격력의 50%의 피해를 입히고, (오버로드 상태의 대상의 방어력을 10%감소시킨다.)"""
11332,1133,E_DAMAGE,E_PHSICALATTACK,E_HAS_OVERROAD,E_ENEMY,0,E_DEF,E_SELF,0.1,0.15,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ENEMY,99,E_DEF,"""(적 전체에게 공격력의 50%의 피해를 입히고,) 오버로드 상태의 대상의 방어력을 10%감소시킨다."""
11341,1134,E_DAMAGE,E_PHSICALATTACK,E_CARD_USE,E_NONE,1,E_ATK,E_SELF,0.7,0.9,FALSE,1,E_NONE,E_NONE,0,0,E_OVERLOAD,-1,0,0,TRUE,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 70% 피해를 입히고, (대상의 오버로드 수치를 모두 소모하여 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다.)"""
11342,1134,E_DAMAGE,E_INSTANT,E_HAS_OVERROAD,E_ENEMY,1,E_MAXHP,E_ENEMY,0.02,0.03,TRUE,1,E_OVERLOAD,E_ENEMY,1,99,E_OVERLOAD,-99,0,0,FALSE,E_ENEMY,1,E_HP,"""(적 1명에게 공격력의 70% 피해를 입히고), 대상의 오버로드 수치를 모두 소모하여 오버로드 당 대상의 최대 체력의 2%만큼의 고정 피해를 입힌다."""
,,,,,,,,,,,,,,,,,,,,,,,,,
15121,1512,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,2,TRUE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,1,E_SPEED,"""본인의 속도를 1증가시키고, (모든 아군의 속도를 1증가시킨다.)"""
15122,1512,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,2,TRUE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,99,E_SPEED,"""(본인의 속도를 1증가시키고), 모든 아군의 속도를 1증가시킨다."""
15131,1513,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,2,TRUE,0,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,0,E_AETHER,"""본인의 에테르 회복량이 1 증가한다."""
15141,1514,E_HEAL,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_AETHERRECOVER,E_SELF,20,25,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,1,E_HP,"""아군 1명에게 공격력의 20% + 에테르 회복량의 2000%만큼 회복한다."""
15151,1515,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_AETHERRECOVER,E_SELF,20,25,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_ALLIES,1,E_SHIELD,"""아군 1명에게 공격력의 20% + 에테르 회복량의 2000%만큼 보호막을 부여한다."""
15161,1516,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,1,2,FALSE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_NONE,0,E_MAXAETHER,"""최대 에테르 보유량을 1 증가시킨다."""
15211,1521,E_DAMAGE,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_MAXHP,E_SELF,-0.1,-0.08,TRUE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,TRUE,E_SELF,1,E_HP,"""최대 체력의 10%와 (에테르 회복량 1을 소비하고, 지정한 유닛에게 공격력의 85%의 피해를 입히고, 후방 두 유닛에게 공격력의 50%의 피해를 입힌다. 모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.))"""
15212,1521,E_VARIATION,E_INSTANT,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,-1,-1,TRUE,1,E_NONE,E_NONE,0,0,E_NONE,0,0,0,FALSE,E_SELF,1,E_AETHERRECOVER,"""(최대 체력의 10%와) 에테르 회복량 1을 소비하고, (지정한 유닛에게 공격력의 85%의 피해를 입히고, 후방 두 유닛에게 공격력의 50%의 피해를 입힌다. 모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.))"""
15213,1521,E_DAMAGE,E_INSTANT,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.85,1,FALSE,1,E_AETHERRECOVER,E_SELF,0.03,99,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""(최대 체력의 10%와 에테르 회복량 1을 소비하고), 지정한 유닛에게 공격력의 85%의 피해를 입히고, (후방 두 유닛에게 공격력의 50%의 피해를 입힌다. 모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.))"""
15214,1521,E_DAMAGE,E_INSTANT,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.4,0.5,FALSE,1,E_AETHERRECOVER,E_SELF,0.03,99,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""(최대 체력의 10%와 에테르 회복량 1을 소비하고, 지정한 유닛에게 공격력의 85%의 피해를 입히고), 후방 두 유닛에게 공격력의 50%의 피해를 입힌다. (모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.))"""
15215,1521,E_DAMAGE,E_INSTANT,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.2,0.25,FALSE,3,E_AETHERRECOVER,E_SELF,0.03,99,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""(최대 체력의 10%와 에테르 회복량 1을 소비하고, 지정한 유닛에게 공격력의 85%의 피해를 입히고), 후방 두 유닛에게 공격력의 50%의 피해를 입힌다. (모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.))"""
15223,1522,E_DAMAGE,E_INSTANT,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.55,0.65,FALSE,3,E_AETHERRECOVER,E_SELF,0.03,99,E_NONE,0,0,0,TRUE,E_ENEMY,1,E_HP,"""(최대 체력의 10%와 에테르 회복량 1을 소비하고), 지정한 유닛에게 공격력의 55%의 피해를 3번 입힌다. 모든 피해량은 에테르 회복량 * 3%만큼 증폭된다.(체력은 1이하로 내려가지 않습니다.)"""
15311,1531,E_VARIATION,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_FIXED,E_NONE,5,7,FALSE,1,E_NONE,E_NONE,0,0,E_BUFF,0,1,0,TRUE,E_SELF,1,E_AETHERRECOVER,"""본인의 에테르 회복량이 7턴 간 5 증가한다."""
15321,1532,E_BOUNCE,E_MAGICCAST,E_CARD_USE,E_NONE,0,E_ATK,E_SELF,0.2,0.25,FALSE,3,E_AETHERRECOVER,E_SELF,1,99,E_NONE,0,0,0,TRUE,E_ENEMY,99,E_HP,"""공격력의 20%로 에테르 회복량 + 3 회 피해를 입힌다. 피해를 가할 때마다 임의의 적을 표적으로 한다."""
